SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,July-10-2025,Townhouse,2020 S Main St Unit B,Seattle,WA,98144,650000,2,2.0,Seattle,1100,796,2017,,591,,Sold,,,https://www.redfin.com/WA/Seattle/2020-S-Main-St-98144/unit-B/home/143457556,NWMLS as Distributed by MLS Grid,2376057,N,Y,47.6001169,-122.305306
PAST SALE,May-30-2025,Single Family Residential,2630 SW 340 Pl,Federal Way,WA,98023,585000,3,2.5,Twin Lakes,1470,7956,1984,,398,,Sold,,,https://www.redfin.com/WA/Federal-Way/2630-SW-340th-Pl-98023/home/353593,NWMLS as Distributed by MLS Grid,2331255,N,Y,47.2971532,-122.3673972
PAST SALE,June-18-2025,Townhouse,1722 California Ave SW Unit B,Seattle,WA,98116,585000,2,2.5,North Admiral,980,653,2009,,597,,Sold,,,https://www.redfin.com/WA/Seattle/1722-California-Ave-SW-98116/unit-B/home/21880919,NWMLS as Distributed by MLS Grid,2368631,N,Y,47.5872429,-122.386044
PAST SALE,September-10-2025,Condo/Co-op,1125 E Olive St #206,Seattle,WA,98122,342000,1,1.0,Capitol Hill,557,,2001,,614,434,Sold,,,https://www.redfin.com/WA/Seattle/1125-E-Olive-St-98122/unit-206/home/12091959,NWMLS as Distributed by MLS Grid,2417096,N,Y,47.6161594,-122.3172369
PAST SALE,July-16-2025,Single Family Residential,1213 SW 308th St,Federal Way,WA,98023,435000,3,1.0,Lakota,1040,12750,1969,,418,,Sold,,,https://www.redfin.com/WA/Federal-Way/1213-SW-308th-St-98023/home/351601,NWMLS as Distributed by MLS Grid,2363301,N,Y,47.3257929,-122.3510488
PAST SALE,June-25-2025,Townhouse,921 W McGraw St #34,Seattle,WA,98119,1500000,3,3.5,Queen Anne,2002,,2019,,749,709,Sold,,,https://www.redfin.com/WA/Seattle/921-W-McGraw-St-98119/unit-34/home/169507123,NWMLS as Distributed by MLS Grid,2363873,N,Y,47.6395474,-122.3697147
PAST SALE,June-20-2025,Single Family Residential,8814 Corliss Ave N,Seattle,WA,98103,960000,4,3.0,Licton Springs,1990,5000,1992,,482,,Sold,,,https://www.redfin.com/WA/Seattle/8814-Corliss-Ave-N-98103/home/104536,NWMLS as Distributed by MLS Grid,2349149,N,Y,47.6928877,-122.3305315
PAST SALE,June-23-2025,Single Family Residential,17346 90th Dr NE Unit A,Bothell,WA,98011,1045000,4,3.5,West Hill,2350,1416,2023,,445,140,Sold,,,https://www.redfin.com/WA/Bothell/17346-90th-Dr-NE-98011/unit-A/home/185885684,NWMLS as Distributed by MLS Grid,2363761,N,Y,47.753874,-122.2208053
PAST SALE,August-14-2025,Single Family Residential,5933 31st Ave SW,Seattle,WA,98126,985000,3,2.5,High Point,2190,4380,2007,,450,100,Sold,,,https://www.redfin.com/WA/Seattle/5933-31st-Ave-SW-98126/home/12302931,NWMLS as Distributed by MLS Grid,2397010,N,Y,47.5490382,-122.3724823
PAST SALE,September-9-2025,Single Family Residential,16611 Maplewild Ave SW,Seattle,WA,98166,1225000,4,2.5,Three Tree Point,2310,7093,1980,,530,,Sold,,,https://www.redfin.com/WA/Seattle/16611-Maplewild-Ave-SW-98166/home/336143,NWMLS as Distributed by MLS Grid,2408725,N,Y,47.454734,-122.3739646
PAST SALE,August-1-2025,Single Family Residential,2521 Smithers Ave S,Renton,WA,98055,715000,3,2.0,Benson Hill,1430,7941,1969,,500,17,Sold,,,https://www.redfin.com/WA/Renton/2521-Smithers-Ave-S-98055/home/384053,NWMLS as Distributed by MLS Grid,2396251,N,Y,47.4569297,-122.2088963
PAST SALE,August-1-2025,Single Family Residential,12260 5th Ave S,Seattle,WA,98168,542000,2,1.0,Cedarhurst,1580,8175,1942,,343,,Sold,,,https://www.redfin.com/WA/Seattle/12260-5th-Ave-S-98168/home/189648,NWMLS as Distributed by MLS Grid,2391476,N,Y,47.4924246,-122.3262153
PAST SALE,November-6-2025,Single Family Residential,10439 SE 194th Pl,Renton,WA,98055,700000,5,3.0,Benson Hill,2260,12668,1967,,310,,Sold,,,https://www.redfin.com/WA/Renton/10439-SE-194th-Pl-98055/home/386856,NWMLS as Distributed by MLS Grid,2433157,N,Y,47.4277041,-122.2011649
PAST SALE,September-22-2025,Condo/Co-op,123 Queen Anne Ave N #404,Seattle,WA,98109,370000,1,1.0,Queen Anne,603,,2000,,614,474,Sold,,,https://www.redfin.com/WA/Seattle/123-Queen-Anne-Ave-N-98109/unit-404/home/28446969,NWMLS as Distributed by MLS Grid,2412291,N,Y,47.6193175,-122.3570761
PAST SALE,July-2-2025,Townhouse,1089 7th Ave NE,Issaquah,WA,98029,1199000,4,4.5,Issaquah Highlands,2161,1,2021,,555,489,Sold,,,https://www.redfin.com/WA/Issaquah/1089-7th-Ave-NE-98027/home/195666627,NWMLS as Distributed by MLS Grid,2374041,N,Y,47.5412878,-122.0226954
PAST SALE,May-21-2025,Townhouse,37717 SE Fury St,Snoqualmie,WA,98065,849900,3,3.0,Snoqualmie,1760,1593,2013,,483,40,Sold,,,https://www.redfin.com/WA/Snoqualmie/37717-SE-Fury-St-98065/home/22808438,NWMLS as Distributed by MLS Grid,2348462,N,Y,47.5335418,-121.8387041
PAST SALE,May-22-2025,Condo/Co-op,12719 NE 116th St Unit E102,Kirkland,WA,98034,425000,2,1.0,North Rose Hill,880,,1981,,483,441,Sold,,,https://www.redfin.com/WA/Kirkland/12719-NE-116th-St-98034/unit-E102/home/191557325,NWMLS as Distributed by MLS Grid,2351652,N,Y,47.7038983,-122.1710397
PAST SALE,July-2-2025,Townhouse,1089 7th Ave NE,Issaquah,WA,98029,1199000,4,4.5,Issaquah Highlands,2161,,2021,,555,489,Sold,,,https://www.redfin.com/WA/Issaquah/1089-7th-Ave-NE-98029/home/187468035,NWMLS as Distributed by MLS Grid,2370501,N,Y,47.541568,-122.022962
PAST SALE,October-16-2025,Condo/Co-op,3202 SW Avalon Way #102,Seattle,WA,98126,419000,2,2.0,Fairmount,824,,1998,,508,642,Sold,,,https://www.redfin.com/WA/Seattle/3202-SW-Avalon-Way-98126/unit-102/home/2091041,NWMLS as Distributed by MLS Grid,2423509,N,Y,47.5646097,-122.373059
PAST SALE,September-4-2025,Single Family Residential,2209 Jones Ave NE,Renton,WA,98056,825000,3,2.0,Kennydale,2060,8000,1962,,400,,Sold,,,https://www.redfin.com/WA/Renton/2209-Jones-Ave-NE-98056/home/412828,NWMLS as Distributed by MLS Grid,2404032,N,Y,47.5115187,-122.1967103
PAST SALE,July-30-2025,Single Family Residential,7511 230th Ave NE,Redmond,WA,98053,1475000,3,3.0,Redmond,2520,29040,1969,,585,,Sold,,,https://www.redfin.com/WA/Redmond/7511-230th-Ave-NE-98053/home/444203,NWMLS as Distributed by MLS Grid,2387927,N,Y,47.6717407,-122.0337114
PAST SALE,September-4-2025,Single Family Residential,12575 SE 52nd St,Bellevue,WA,98006,1270000,4,3.0,Newport Hills,2665,8314,1961,,477,,Sold,,,https://www.redfin.com/WA/Bellevue/12575-SE-52nd-St-98006/home/414141,NWMLS as Distributed by MLS Grid,2397573,N,Y,47.5547031,-122.1706333
PAST SALE,October-6-2025,Single Family Residential,28208 183rd Ave SE,Kent,WA,98042,1154000,4,3.0,Kent,3800,39633,2007,,304,18,Sold,,,https://www.redfin.com/WA/Kent/28208-183rd-Ave-SE-98042/home/12301833,NWMLS as Distributed by MLS Grid,2414566,N,Y,47.3488398,-122.0982577
PAST SALE,June-23-2025,Single Family Residential,5990 167th Ave SE,Bellevue,WA,98006,2280000,4,3.5,Lakemont,4190,14051,1993,,544,,Sold,,,https://www.redfin.com/WA/Bellevue/5990-167th-Ave-SE-98006/home/418233,NWMLS as Distributed by MLS Grid,2364416,N,Y,47.548865,-122.1171019
PAST SALE,July-2-2025,Single Family Residential,12224 SE 39th St,Bellevue,WA,98006,1260000,3,3.0,Greenwich Crest,1870,10200,1997,,674,,Sold,,,https://www.redfin.com/WA/Bellevue/12224-SE-39th-St-98006/home/233849,NWMLS as Distributed by MLS Grid,2371511,N,Y,47.5759783,-122.175875
PAST SALE,October-7-2025,Single Family Residential,471 Rosario Pl NE,Renton,WA,98059,1395000,5,3.0,East Renton,3070,7200,2005,,454,42,Sold,,,https://www.redfin.com/WA/Renton/471-Rosario-Pl-NE-98059/home/2087950,NWMLS as Distributed by MLS Grid,2416854,N,Y,47.4899614,-122.137543
PAST SALE,September-19-2025,Single Family Residential,479 Harrington Ave NE,Renton,WA,98056,599990,3,1.0,Renton,1150,11000,1958,,522,,Sold,,,https://www.redfin.com/WA/Renton/479-Harrington-Ave-NE-98056/home/243363,NWMLS as Distributed by MLS Grid,2410683,N,Y,47.4900788,-122.1814563
PAST SALE,June-12-2025,Single Family Residential,13780 NE 77th Pl,Redmond,WA,98052,1640000,4,3.0,Grass Lawn Park,2320,8106,1962,,707,,Sold,,,https://www.redfin.com/WA/Redmond/13780-NE-77th-Pl-98052/home/516146,NWMLS as Distributed by MLS Grid,2362062,N,Y,47.673698,-122.1558596
PAST SALE,August-15-2025,Single Family Residential,2726 34th Ave S,Seattle,WA,98144,900000,4,2.0,Mt Baker,1980,3000,1924,,455,,Sold,,,https://www.redfin.com/WA/Seattle/2726-34th-Ave-S-98144/home/488559,NWMLS as Distributed by MLS Grid,2400420,N,Y,47.5788354,-122.2895255
PAST SALE,August-27-2025,Condo/Co-op,10549 Stone Ave N #101,Seattle,WA,98133,395000,2,2.0,Northgate,902,,2005,,438,449,Sold,,,https://www.redfin.com/WA/Seattle/10549-Stone-Ave-N-98133/unit-101/home/2086280,NWMLS as Distributed by MLS Grid,2401267,N,Y,47.7064968,-122.3422813
PAST SALE,July-3-2025,Single Family Residential,2837 SW 340th Pl,Federal Way,WA,98023,700000,4,2.5,Twin Lakes,2610,7210,1981,,268,,Sold,,,https://www.redfin.com/WA/Federal-Way/2837-SW-340th-Pl-98023/home/356364,NWMLS as Distributed by MLS Grid,2368128,N,Y,47.2967149,-122.3698098
PAST SALE,August-8-2025,Condo/Co-op,13145 102nd Ln NE #6,Kirkland,WA,98034,607000,3,2.0,Juanita,1149,,1985,,528,498,Sold,,,https://www.redfin.com/WA/Kirkland/13145-102nd-Ln-NE-98034/unit-6/home/2116482,NWMLS as Distributed by MLS Grid,2396183,N,Y,47.7179019,-122.2048554
PAST SALE,October-31-2025,Single Family Residential,29103 46th Pl S,Auburn,WA,98001,599000,3,2.5,Auburn,1750,8819,1976,,342,,Sold,,,https://www.redfin.com/WA/Auburn/29103-46th-Pl-S-98001/home/212648,NWMLS as Distributed by MLS Grid,2431011,N,Y,47.3407099,-122.2758666
PAST SALE,July-31-2025,Condo/Co-op,4725 15th Ave NE #37,Seattle,WA,98105,225000,0,1.0,University District,507,,1923,,444,424,Sold,,,https://www.redfin.com/WA/Seattle/4725-15th-Ave-NE-98105/unit-37/home/105717984,NWMLS as Distributed by MLS Grid,2387079,N,Y,47.6638715,-122.3122067
PAST SALE,May-27-2025,Single Family Residential,24002 181st Pl SE,Kent,WA,98042,667000,3,2.5,Kent,1700,4484,2021,,392,72,Sold,,,https://www.redfin.com/WA/Kent/24002-181st-Pl-SE-98042/home/173683280,NWMLS as Distributed by MLS Grid,2353110,N,Y,47.3861911,-122.0995418
PAST SALE,September-3-2025,Single Family Residential,30215 6th Ave SW,Federal Way,WA,98023,500000,3,1.0,Buenna,1120,9548,1966,,446,,Sold,,,https://www.redfin.com/WA/Federal-Way/30215-6th-Ave-SW-98023/home/351907,NWMLS as Distributed by MLS Grid,2393613,N,Y,47.3306432,-122.3431749
PAST SALE,July-21-2025,Single Family Residential,1712 1718 N 107th St,Seattle,WA,98133,750000,3,1.0,Northgate,890,20360,1954,,843,,Sold,,,https://www.redfin.com/WA/Seattle/1718-N-107th-St-98133/home/105545,NWMLS as Distributed by MLS Grid,2356870,N,Y,47.7070515,-122.3366567
PAST SALE,October-29-2025,Condo/Co-op,701 1st Ave N #403,Seattle,WA,98109,458000,1,1.0,Queen Anne,738,,2000,,621,577,Sold,,,https://www.redfin.com/WA/Seattle/701-1st-Ave-N-98109/unit-403/home/103958961,NWMLS as Distributed by MLS Grid,2423005,N,Y,47.6256356,-122.3555522
PAST SALE,July-28-2025,Single Family Residential,2736 SW Holden St,Seattle,WA,98126,975000,3,2.5,West Seattle,2038,3738,2018,,478,,Sold,,,https://www.redfin.com/WA/Seattle/2736-SW-Holden-St-98126/home/170481246,NWMLS as Distributed by MLS Grid,2382340,N,Y,47.5350446,-122.3678653
PAST SALE,August-29-2025,Single Family Residential,813 SW 363rd Pl,Federal Way,WA,98023,750000,4,2.5,Federal Way,2980,5866,2003,,252,34,Sold,,,https://www.redfin.com/WA/Federal-Way/813-SW-363rd-Pl-98023/home/360586,NWMLS as Distributed by MLS Grid,2387848,N,Y,47.2769855,-122.3466177
PAST SALE,September-19-2025,Single Family Residential,409 5th Ave W,Kirkland,WA,98033,7050000,3,2.0,West Of Market,1980,26611,1938,,3561,17,Sold,,,https://www.redfin.com/WA/Kirkland/409-5th-Ave-W-98033/home/282499,NWMLS as Distributed by MLS Grid,2410387,N,Y,47.6833018,-122.2155497
PAST SALE,August-29-2025,Townhouse,11323 101st Pl NE,Kirkland,WA,98033,810000,2,2.5,Juanita,1365,,1986,,593,475,Sold,,,https://www.redfin.com/WA/Kirkland/11323-101st-Pl-NE-98033/home/39517370,NWMLS as Distributed by MLS Grid,2394867,N,Y,47.7027209,-122.2058667
PAST SALE,May-23-2025,Single Family Residential,4333 SW Trenton St,Seattle,WA,98136,1590000,4,3.5,Fauntleroy,3239,4000,2013,,491,,Sold,,,https://www.redfin.com/WA/Seattle/4333-SW-Trenton-St-98136/home/157622,NWMLS as Distributed by MLS Grid,2355271,N,Y,47.5246259,-122.3889577
PAST SALE,September-25-2025,Single Family Residential,6517 High Point Dr SW,Seattle,WA,98126,750000,3,2.5,High Point,1580,2545,2012,,475,207,Sold,,,https://www.redfin.com/WA/Seattle/6517-High-Point-Dr-SW-98126/home/18661571,NWMLS as Distributed by MLS Grid,2410041,N,Y,47.5439478,-122.3685489
PAST SALE,July-1-2025,Condo/Co-op,3226 Fuhrman Ave E #201,Seattle,WA,98102,625000,1,1.0,Portage Bay,1022,,1928,,612,612,Sold,,,https://www.redfin.com/WA/Seattle/3226-Fuhrman-Ave-E-98102/unit-201/home/136,NWMLS as Distributed by MLS Grid,2371713,N,Y,47.6508427,-122.3203509
PAST SALE,July-3-2025,Single Family Residential,8254 Densmore Ave N,Seattle,WA,98103,915000,4,2.0,Green Lake,1720,5000,1939,,532,,Sold,,,https://www.redfin.com/WA/Seattle/8254-Densmore-Ave-N-98103/home/306344,NWMLS as Distributed by MLS Grid,2374405,N,Y,47.6903528,-122.3375225
